date,price
26/7/2022,3.3845
25/7/2022,3.3545
22/7/2022,3.3495
21/7/2022,3.2985
20/7/2022,3.325
19/7/2022,3.291
18/7/2022,3.346
15/7/2022,3.234
14/7/2022,3.2115
13/7/2022,3.3225
12/7/2022,3.288
11/7/2022,3.4305
8/7/2022,3.522
7/7/2022,3.572
6/7/2022,3.408
5/7/2022,3.415
1/7/2022,3.604
30/6/2022,3.71
29/6/2022,3.7805
28/6/2022,3.78
27/6/2022,3.766
24/6/2022,3.7445
23/6/2022,3.7465
22/6/2022,3.95
21/6/2022,4.0485
17/6/2022,4.0295
16/6/2022,4.1265
15/6/2022,4.1825
14/6/2022,4.176
13/6/2022,4.228
10/6/2022,4.2945
9/6/2022,4.381
8/6/2022,4.4545
7/6/2022,4.4355
6/6/2022,4.435
3/6/2022,4.472
2/6/2022,4.5525
1/6/2022,4.3285
31/5/2022,4.296
27/5/2022,4.3065
26/5/2022,4.259
25/5/2022,4.2545
24/5/2022,4.305
23/5/2022,4.3455
20/5/2022,4.275
19/5/2022,4.283
18/5/2022,4.1785
17/5/2022,4.239
16/5/2022,4.1915
13/5/2022,4.175
12/5/2022,4.1005
11/5/2022,4.209
10/5/2022,4.1545
9/5/2022,4.1935
6/5/2022,4.267
5/5/2022,4.2915
4/5/2022,4.338
3/5/2022,4.283
2/5/2022,4.268
29/4/2022,4.4085
28/4/2022,4.4335
27/4/2022,4.475
26/4/2022,4.464
25/4/2022,4.472
22/4/2022,4.602
21/4/2022,4.7225
20/4/2022,4.6755
19/4/2022,4.7395
18/4/2022,4.8215
14/4/2022,4.741
13/4/2022,4.7305
12/4/2022,4.7095
11/4/2022,4.634
8/4/2022,4.725
7/4/2022,4.6995
6/4/2022,4.738
5/4/2022,4.795
4/4/2022,4.7815
1/4/2022,4.6885
31/3/2022,4.751
30/3/2022,4.7505
29/3/2022,4.731
28/3/2022,4.7255
25/3/2022,4.6985
24/3/2022,4.7425
23/3/2022,4.7765
22/3/2022,4.7
21/3/2022,4.7105
18/3/2022,4.7395
17/3/2022,4.702
16/3/2022,4.6005
15/3/2022,4.513
14/3/2022,4.523
11/3/2022,4.6255
10/3/2022,4.6525
9/3/2022,4.5725
8/3/2022,4.71
7/3/2022,4.731
4/3/2022,4.9375
3/3/2022,4.7815
2/3/2022,4.6655
1/3/2022,4.5965
28/2/2022,4.4545
25/2/2022,4.485
24/2/2022,4.461
23/2/2022,4.4885
22/2/2022,4.5175
18/2/2022,4.526
17/2/2022,4.528
16/2/2022,4.541
15/2/2022,4.536
14/2/2022,4.508
11/2/2022,4.506
10/2/2022,4.6595
9/2/2022,4.6025
8/2/2022,4.461
7/2/2022,4.4625
4/2/2022,4.4875
3/2/2022,4.471
2/2/2022,4.496
1/2/2022,4.434
31/1/2022,4.3245
28/1/2022,4.31
27/1/2022,4.4235
